newtrans,location,days_before,days_after,transmonth,prevvisits,newvisits,lyprevvisits,lynewvisits,hotel_published_year,latitude,longitude,rating,num_amenities,ta,prev_oyster,new_oyster,price
4-full,Caribbean,90,360,52015,0,3,0,0,2011,22.899317,-109.863843,35,23,228620,1125,1447,206.4146
4-full,Las Vegas,90,360,52015,0,2,5,0,2009,36.001948,-115.105841,25,18,14859,79,108,206.64
3-partial,Miami,90,368,52015,1,2,1,2,2009,25.791742,-80.186677,35,23,85430,511,492,207.5909
3-partial,New York City,90,374,52015,13,13,2,32,2009,40.749161,-73.984016,30,10,67599,407,189,207.8
4-full,Los Angeles,90,360,52015,0,0,0,0,2012,34.410515,-119.69417,30,14,41305,64,71,207.8571
4-full,Caribbean,90,360,52015,0,6,0,0,2011,9.945971,-84.154243,45,26,33597,68,302,207.875
4-full,San Francisco/Northern Cali,90,360,52015,0,0,0,0,2011,38.435766,-122.720338,30,13,13475,46,56,208
4-full,Washington D.C.,90,360,52015,0,3,0,0,2012,38.908263,-77.03604,35,16,69279,566,602,208.2101
3-partial,Hawaii,90,361,52015,2,7,4,4,2009,21.278307,-157.82719,35,21,318262,530,733,208.3109
3-partial,New York City,90,359,52015,0,10,1,9,2011,40.724853,-74.036298,40,20,67419,474,456,208.4814
3-partial,Washington D.C.,90,316,52015,3,4,1,0,2009,38.906902,-77.037384,30,17,27757,128,159,208.827
4-full,Caribbean,90,360,52015,0,0,0,0,2011,9.404185,-84.158235,35,21,67619,368,443,209.124
4-full,Caribbean,90,360,52015,0,1,1,5,2011,18.443318,-66.009031,35,26,228267,1129,517,209.159
3-partial,New York City,90,374,52015,0,2,1,1,2013,40.697514,-73.958687,35,14,71900,77,37,209.6666
4-full,Caribbean,90,360,52015,0,0,0,1,2011,20.660905,-105.253089,40,32,243715,1157,1170,209.7809
3-partial,New York City,90,374,52015,8,13,18,22,2009,40.749943,-73.981072,30,14,151936,714,510,209.8064
3-partial,New York City,90,374,52015,1,5,0,4,2009,40.744596,-73.999204,30,11,48311,306,335,210
3-partial,Washington D.C.,90,316,52015,1,4,0,4,2009,38.913322,-77.039388,30,12,88979,509,684,210.4129
3-partial,Miami,90,323,52015,1,8,0,1,2009,25.78028,-80.133345,30,12,73284,84,359,210.8734
4-full,Los Angeles,90,360,52015,1,6,4,3,2009,34.051308,-118.24298,35,19,124348,162,148,210.9375
4-full,Caribbean,90,360,52015,0,3,0,2,2011,22.897392,-109.890999,35,25,952657,6048,5626,211.1899
4-full,Hawaii,90,360,52015,3,3,0,4,2009,21.277078,-157.826142,30,24,388135,691,426,211.3636
3-partial,Washington D.C.,90,361,52015,3,3,2,5,2009,38.907998,-77.032911,30,16,59141,755,462,211.6388
3-partial,New York City,90,374,52015,1,5,1,4,2013,40.746964,-73.990903,35,16,58258,225,188,211.8387
3-partial,New York City,90,352,52015,6,117,3,30,2009,40.758755,-73.988472,40,13,1060559,3292,6236,211.9232
3-partial,New York City,90,374,52015,2,16,2,21,2012,40.716981,-73.995216,35,16,95047,543,353,211.95
4-full,Caribbean,90,360,52015,0,4,0,0,2011,20.63996,-105.233521,35,29,139156,355,736,212.4722
3-partial,New York City,90,374,52015,4,16,5,9,2009,40.754353,-73.994147,30,17,83980,370,312,212.5
3-partial,Los Angeles,90,361,52015,7,22,13,17,2010,34.049764,-118.253822,35,19,155679,1073,1412,212.7564
3-partial,Caribbean,90,361,52015,1,14,11,14,2012,21.257866,-86.750641,40,23,327881,2473,1968,212.9289
4-full,San Francisco/Northern Cali,90,360,52015,0,1,0,0,2011,37.352847,-122.002071,35,16,24552,105,87,213
4-full,Caribbean,90,360,52015,0,0,0,0,2011,20.596725,-105.239328,30,17,24994,139,142,213.0384
3-partial,New York City,90,323,52015,4,48,2,6,2012,40.759247,-73.995506,35,13,692251,1524,1900,213.3567
4-full,Caribbean,90,360,52015,0,3,2,1,2011,18.461226,-66.081352,40,25,312731,1496,2024,214.1865
3-partial,Caribbean,90,91,12016,2,2,2,2,2009,18.435555,-69.189919,35,34,749126,2755,3727,214.3317
